#{"t_start": 1721926561.9232907, "env_id": "None"}
r,d_r,l,t
-6204.148821,2818.216013,8000,62.729268
-5231.859715,-11787.377781,8000,217.060198
2829.579055,-5482.090627,8000,371.037163
-4647.6388,2825.350071,8000,525.401482
2764.822245,2800.923989,8000,682.674266
-5907.573312,2862.846415,8000,841.817232
2819.160807,2682.536779,8000,997.567229
38.692135,453.628244,1086,1095.230075
-5303.886833,-5567.220758,8000,1253.775261
2866.8135,2802.213768,8000,1396.663027
2861.290804,-5593.790154,8000,1553.066462
-2958.593173,-3028.342233,8000,1704.587389
-503.3604,201.212178,739,1709.866412
2769.693712,2712.292985,8000,1853.512979
2778.674905,2763.270842,8000,1998.645288
2898.257827,2831.821927,8000,2155.433784
2884.90401,2774.589797,8000,2313.239709
2827.160581,2839.084255,8000,2473.41745
2784.90585,2819.005941,8000,2618.075888
2811.906702,2775.476264,8000,2775.231465
-5288.064431,2815.682931,8000,2932.358059
-4976.662482,2879.585394,8000,3083.218975
-6062.498332,2847.275189,8000,3243.169961
-5441.694807,-2381.322845,8000,3402.978515
1610.528635,-4282.295659,5509,3450.509027
-5144.095428,-5590.299182,8000,3609.361395
2777.005109,-4703.753783,8000,3768.848177
2858.783579,-13154.095748,8000,3911.722536
2819.520861,2760.54827,8000,4073.02156
-1300.127604,2736.357817,8000,4221.324081
2857.715052,2879.289832,8000,4374.054005
2907.976531,2820.93228,8000,4516.710576
2835.501581,-6344.345396,8000,4674.529703
2812.434053,2920.26768,8000,4833.011864
2858.935884,-4748.334089,8000,4992.881126
2915.439561,2751.512663,8000,5132.874818
1980.587193,2642.674706,8000,5272.228424
-4989.232533,-5935.183477,8000,5426.822712
2859.814485,2647.802674,8000,5583.940195
2875.909872,2796.439444,8000,5739.744839
218.949978,1161.888761,2914,5854.108036
-3957.047192,-3889.675039,8000,6014.605572
-5980.466311,2862.589549,8000,6160.306383
2821.906909,2854.258067,8000,6316.12174
2383.719829,2585.630583,8000,6457.517939
-4070.068083,-5868.521242,8000,6601.027493
2802.361322,-5575.206071,8000,6736.250331
2814.153452,2814.219872,8000,6889.596941
2755.444949,-5658.317767,8000,7044.615822
2852.426836,2815.468373,8000,7199.942294
2721.902769,2861.650904,8000,7354.220653
2801.802751,-4084.890469,8000,7509.344496
2814.582375,2895.8632,8000,7652.58619
2902.267731,2794.567008,8000,7797.793767
-5386.68528,648.386338,8000,7951.636066
2841.246059,-6086.479371,8000,8104.849571
2903.415529,2681.983911,8000,8261.075321
382.415124,474.407233,1105,8268.476168
2754.041058,2824.698581,8000,8418.907295
-5146.069949,-5761.46974,8000,8559.726649
-4762.962619,-6067.746241,8000,8714.030242
2824.416096,2873.051015,8000,8856.160114
2768.132803,-452.457397,8000,9010.760256
2716.038502,2859.255416,8000,9144.790454
2827.006909,-14803.114069,8000,9295.514476
2817.606879,2830.252442,8000,9447.753475
-199.225836,-6132.721173,8000,9601.235917
-6486.670948,-11312.100912,8000,9754.615469
2829.096713,-5455.814146,8000,9909.474721
2807.87204,-5184.185466,8000,10056.976846
2810.670287,2596.528545,8000,10199.971053
-5961.800313,-4150.854136,8000,10352.664845
-5638.679668,-2105.405154,8000,10491.609383
-2631.082146,-8308.535474,8000,10643.830063
1701.003645,2840.31089,8000,10794.634536
2825.328645,2796.089617,8000,10933.613387
2695.80955,2842.692614,8000,11087.30953
2791.332614,-5953.101036,8000,11239.663771
2779.224812,2692.00467,8000,11381.371969
-4797.652387,-5215.618406,8000,11534.762604
2968.422023,2755.254823,8000,11674.991762
2613.344094,-4374.351248,8000,11824.146497
2875.890376,2820.225064,8000,11977.546211
2570.442093,-5816.552793,8000,12131.435997
2802.102014,2898.096793,8000,12284.401082
2725.644141,2877.704318,8000,12406.100131
2832.15445,2570.588163,8000,12562.396609
2855.888906,-6831.398293,8000,12718.482265
1808.917166,1623.030929,8000,12874.897477
-3100.27929,1567.494862,4918,12977.248164
-1224.142869,-14651.571877,8000,13109.467522
-899.222268,-214.017539,1277,13121.320258
-642.113089,379.124024,903,13130.711022
175.057925,280.085658,898,13136.99359
2718.435108,2761.767748,8000,13293.443247
-2041.758812,-10671.290683,8000,13447.766973
866.898175,-4788.803833,8000,13588.939691
90.412287,-5503.208594,7828,13737.294803
2661.845658,-5352.094399,8000,13892.456212
-4913.885792,-13281.304909,8000,14051.260513
-186.290247,-1572.040423,2310,14069.440519
-6151.058705,-8465.267054,8000,14224.45802
-10.368493,669.298475,2033,14240.741492
2737.954174,2759.009874,8000,14396.193062
-4508.350565,2644.090744,8000,14550.999535
2701.812184,2757.368938,8000,14693.807617
-4322.036143,-1122.90318,8000,14848.24891
-4822.89877,2589.748115,8000,14991.329247
198.986149,-4858.027336,7057,15133.258475
2607.489522,2753.476114,8000,15287.664703
-6040.602678,-5706.386086,8000,15441.620346
-6056.603107,-9202.535048,8000,15596.21567
-5233.096235,2338.947006,7101,15736.093671
-210.021129,-1786.19657,3967,15853.8054
2224.812506,-13978.656652,8000,16004.317214
-4148.743948,2633.710479,8000,16159.68923
