#{"t_start": 1721926561.968673, "env_id": "None"}
r,d_r,l,t
2873.918072,2834.191864,8000,62.727791
-5465.565798,2865.591101,8000,217.058857
2843.989376,2845.277276,8000,371.036088
2848.973982,2809.285317,8000,525.399993
2798.158967,-14454.30589,8000,682.673598
-3684.692111,2741.582059,8000,841.81709
-3284.776398,-5791.179644,8000,997.566702
2624.895219,-10736.75507,8000,1156.206404
2699.968424,-5370.850832,8000,1313.562556
2820.51999,2900.298975,8000,1455.619575
-471.191948,360.400159,1489,1555.97236
-117.464055,188.310712,615,1562.714521
2914.679396,2838.356902,8000,1711.88947
2832.432614,-3736.225291,8000,1855.465607
2854.6672,-14453.294676,8000,2000.449381
2797.115735,2701.208665,8000,2157.263984
2730.304882,2770.929984,8000,2315.057101
2799.870706,2817.562004,8000,2475.263874
2747.962139,-5180.504201,8000,2619.931451
2810.667108,-5785.537654,8000,2777.051602
-5456.097833,2793.74779,8000,2934.180117
-5804.102165,2864.955665,8000,3085.080469
-1288.218637,928.330845,2991,3110.59505
2675.409314,2673.897109,8000,3272.291228
-6071.934189,2773.745848,8000,3431.429501
-5301.295127,-6018.619752,8000,3590.244873
2641.44489,2803.528405,8000,3750.27901
2728.651055,-3124.742239,8000,3894.263977
2685.460969,2829.342916,8000,4055.101161
2875.281544,2851.620578,8000,4200.767019
-5367.631956,2169.276944,8000,4356.317857
-6032.969665,2481.346525,8000,4499.023029
2807.222685,-5957.701908,8000,4656.763587
2726.600475,2852.827728,8000,4814.336855
2848.68489,2803.583032,8000,4974.23883
-2681.777751,-2406.271934,8000,5115.043185
2758.296011,-6361.835615,8000,5254.543861
2831.776874,-14698.964115,8000,5408.955846
2808.454814,2770.58592,8000,5565.859507
2829.117251,2907.262564,8000,5721.308274
2845.561216,-5430.247076,8000,5876.774817
2766.077157,-5780.176611,8000,6036.946884
2895.489851,2812.967566,8000,6182.049
2781.981701,2907.300799,8000,6337.875293
-4008.658911,2824.251659,8000,6479.687002
2839.838032,2798.56519,8000,6622.67124
2862.227208,-6042.434648,8000,6760.951164
2786.25639,-13285.838137,8000,6914.014457
2900.588407,2690.325198,8000,7069.281322
-6216.203918,-5224.049293,8000,7224.317552
2634.158705,2765.956641,8000,7376.12562
-5975.645617,2877.850902,8000,7531.866771
2796.192877,-6096.137595,8000,7674.518668
2844.775331,2768.077667,8000,7819.944163
-5589.640852,-4509.424564,8000,7973.013215
-5872.897627,-5550.170246,8000,8126.556857
2786.741144,-4718.947033,8000,8282.899425
2904.006797,2779.337504,8000,8432.975048
-5381.635277,-5273.435129,8000,8573.873339
2726.848789,-13735.987516,8000,8728.974593
2745.719343,-14429.445069,8000,8870.648367
-5530.598396,2798.851908,8000,9022.440155
2886.066824,1410.305671,8000,9156.329699
-5069.546065,2904.512509,8000,9309.742374
2893.076622,2765.527229,8000,9462.170204
2725.876957,2809.188839,8000,9615.509548
2915.399394,2779.24378,8000,9769.107283
-2857.467724,1664.318644,4598,9895.518758
-821.097886,1018.548424,3156,9922.158334
204.286433,268.50133,773,9927.338603
2804.519278,2835.434524,8000,10074.837981
2816.88955,-4539.337336,8000,10217.798517
-6231.9556,2818.864504,8000,10370.471367
-384.362277,726.217638,1958,10386.575985
2411.132184,2344.996189,8000,10525.570102
-5765.543061,2664.126693,8000,10677.497377
-826.804239,-2617.518979,4045,10799.245354
2816.831359,2900.758673,8000,10938.437689
2798.900426,-4421.595865,8000,11089.119811
2916.503286,-4952.520143,8000,11241.457981
224.830683,168.54301,530,11247.819058
-5657.593464,-1943.000737,8000,11386.655299
-4723.231308,2731.170566,8000,11540.06296
-4969.940375,2786.074448,8000,11680.338259
-5194.010894,2881.687419,8000,11829.460247
2841.765764,-5995.270115,8000,11982.84852
-4750.030242,-4870.017797,8000,12136.690506
2756.158882,-6166.765767,8000,12289.73071
2813.33425,2801.411329,8000,12414.05503
-4582.189786,2776.136724,8000,12570.301645
-6314.461597,-5338.988315,8000,12726.386699
-6353.429227,1805.520929,8000,12882.807078
-4828.552276,-10352.301955,8000,13006.10849
-4438.19996,-4976.048251,8000,13142.389565
42.258708,213.709517,839,13151.778151
-7083.193306,-13021.221856,8000,13306.976419
-4200.298167,-6216.268759,8000,13461.337182
-4481.570217,-1814.037668,8000,13603.142893
-2939.208367,-2348.88449,4994,13724.876005
2034.464401,-5421.281456,8000,13884.076225
2639.325784,2731.887237,8000,14042.959125
-5398.457391,-905.643291,8000,14197.977028
2638.891395,-4836.603272,8000,14353.874619
-2981.305784,-3348.096819,5535,14396.213842
