#{"t_start": 1721926562.069568, "env_id": "None"}
r,d_r,l,t
2903.275589,-13021.347475,8000,62.671971
2794.784336,-4811.141415,8000,217.003643
-5326.384655,-14901.226842,8000,370.980648
-5799.428183,-2843.96198,8000,525.344563
-5197.542563,2802.953179,8000,682.618801
-5107.22277,2758.99244,8000,841.762537
-5274.687375,-5738.645245,8000,997.511936
-4577.740032,2721.288018,8000,1156.151636
2794.40855,-5921.82958,8000,1313.507886
-4717.010405,-4744.248795,8000,1455.564438
1771.541352,2499.075017,8000,1609.644956
-4908.93034,-6006.143202,8000,1761.875561
-5151.788023,-4917.732872,8000,1905.051662
2741.528666,2826.812587,8000,2049.985321
2889.5399,-4390.48562,8000,2206.802119
2816.970175,2837.34029,8000,2365.94816
-6335.668343,2805.952284,8000,2526.587484
-4456.340202,2700.487661,8000,2669.98831
-5489.450713,2856.743684,8000,2826.774687
2750.997496,2818.171377,8000,2983.844292
2785.286915,2768.321056,8000,3138.046325
2876.658592,2812.403458,8000,3295.786309
2811.161404,-5251.410481,8000,3455.133851
-5845.871771,2765.791416,8000,3613.834507
2787.958987,2799.479451,8000,3773.251663
2867.364885,2885.174094,8000,3916.106126
-4564.900291,2867.126608,8000,4077.470047
2896.688912,2868.034124,8000,4225.653726
-4812.054103,2708.857765,8000,4381.212292
-4335.052462,-4419.88278,8000,4523.648688
183.374584,452.147207,1100,4624.349384
-5985.914995,-4971.30597,8000,4781.632679
2712.046575,2809.944072,8000,4939.587583
-2059.086565,-2340.710714,8000,5082.839912
2844.220337,2859.930816,8000,5222.507438
-4649.836546,-5786.328568,8000,5377.136625
2852.661327,2754.467336,8000,5533.685244
-5889.530457,2809.24569,8000,5688.884037
2803.541332,2912.292194,8000,5842.53462
-1546.47104,2763.27149,8000,6003.118778
2793.505,2886.39834,8000,6149.767017
2869.533421,-14048.016294,8000,6305.594809
2745.263481,-5869.441679,8000,6446.850897
2870.020086,2841.728098,8000,6590.429785
2820.63338,2857.237588,8000,6728.130655
2831.664803,2851.706084,8000,6881.373528
-4957.479471,-5691.107341,8000,7036.749521
2778.93058,2835.955242,8000,7192.135272
-4777.763324,-4374.862347,8000,7346.431777
2865.023026,2782.725422,8000,7498.641831
2900.742691,-10696.776693,8000,7641.836572
-5621.480391,2842.753912,8000,7787.039979
2840.544552,2734.697744,8000,7941.134503
2803.61684,-4191.800523,8000,8094.354457
2790.400021,2770.162276,8000,8250.352808
-4968.873863,2825.326711,8000,8400.744773
-3175.630426,2890.025825,8000,8541.902408
2889.900566,-5357.773092,8000,8696.090504
599.490585,165.702756,1813,8710.954479
1984.456353,2727.199544,8000,8850.244024
-4121.387033,2840.025907,8000,9004.836438
-4900.54254,-5624.334432,8000,9138.782419
2789.151445,2848.149484,8000,9292.446262
-5281.144805,-4661.321351,8000,9444.633164
-6045.406034,-6366.949639,8000,9598.136073
2776.077338,2807.855135,8000,9751.505887
-4559.880011,2694.453485,8000,9906.362411
-520.691095,242.678491,1431,9918.697947
-1740.943336,2705.954623,8000,10063.46984
-41.87516,1985.97741,5504,10186.994042
2777.739533,-6268.628921,8000,10339.677647
