#{"t_start": 1721923930.5705135, "env_id": "None"}
r,d_r,l,t
5605.797649,0.0,8000,66.706015
5530.680022,0.0,8000,216.465866
-7055.535475,0.0,8000,372.613922
5603.494711,0.0,8000,532.179155
-691.30908,0.0,8000,689.480907
-10512.825426,0.0,8000,844.663511
-8898.077576,0.0,8000,1001.583766
5528.23676,0.0,8000,1161.651342
-12330.959205,0.0,8000,1316.829742
-3084.003883,0.0,8000,1468.932362
-654.511505,0.0,947,1563.223851
-3045.109791,0.0,8000,1719.502073
-2032.561301,0.0,8000,1881.268391
-99.58292,0.0,8000,2038.876197
5481.939646,0.0,8000,2194.666317
-11263.897519,0.0,8000,2356.091496
-3094.78319,0.0,8000,2512.367345
5661.613767,0.0,8000,2665.225096
-3881.715614,0.0,8000,2820.166766
-2942.589888,0.0,8000,2972.899199
5603.779653,0.0,8000,3126.634736
-14843.352857,0.0,8000,3279.685004
-2994.052467,0.0,8000,3437.280395
-10283.3439,0.0,8000,3593.111243
5409.623328,0.0,8000,3734.326211
4488.869975,0.0,8000,3890.920135
-8410.067272,0.0,8000,4030.801869
-3087.319748,0.0,8000,4167.111769
5444.766683,0.0,8000,4321.351117
-11948.864602,0.0,8000,4466.078628
-18165.451166,0.0,8000,4622.650073
-3318.312379,0.0,8000,4775.734308
-14813.352604,0.0,8000,4929.81358
-2537.42064,0.0,8000,5086.484123
5617.538815,0.0,8000,5244.837148
-2458.448857,0.0,8000,5398.216781
-20093.409431,0.0,8000,5542.120044
-10405.759097,0.0,8000,5695.163546
-2666.668478,0.0,8000,5855.521765
-2167.998523,0.0,8000,6012.082476
-3134.974544,0.0,8000,6168.360025
-2819.129376,0.0,8000,6325.977202
-11733.397696,0.0,8000,6483.231964
-2708.902707,0.0,8000,6639.16416
-2192.999106,0.0,8000,6798.131563
-2454.699099,0.0,8000,6942.604779
5653.183736,0.0,8000,7096.320949
-14458.56666,0.0,8000,7252.479491
5321.475376,0.0,8000,7404.275617
5492.312476,0.0,8000,7559.334603
-9064.273992,0.0,8000,7715.127331
5569.567055,0.0,8000,7867.665269
-1731.922538,0.0,8000,8020.039909
-1558.820057,0.0,8000,8174.420187
-11020.277312,0.0,8000,8327.523594
5371.238929,0.0,8000,8483.207998
-5461.193325,0.0,8000,8642.031202
5545.032492,0.0,8000,8795.196444
5517.346469,0.0,8000,8949.30542
-3573.065514,0.0,8000,9098.237514
-3062.564909,0.0,8000,9250.858294
-9348.827392,0.0,8000,9401.461253
5417.35697,0.0,8000,9551.086608
5528.799749,0.0,8000,9704.230335
-418.802122,0.0,1515,9717.168782
-16484.53051,0.0,8000,9868.923387
-10382.178315,0.0,8000,10022.685481
-14339.640008,0.0,8000,10167.222742
-2455.140593,0.0,8000,10316.426747
5559.209468,0.0,8000,10460.994483
5335.892308,0.0,8000,10612.969604
-14014.923052,0.0,8000,10764.369234
-11674.341083,0.0,8000,10918.020323
-2133.836975,0.0,8000,11072.041598
-10255.541367,0.0,8000,11209.827351
-2423.564584,0.0,8000,11363.176424
-5032.111077,0.0,4141,11397.87574
-2636.232007,0.0,8000,11550.426887
-2810.323825,0.0,8000,11704.363287
5466.685207,0.0,8000,11857.270713
-2732.833211,0.0,8000,12007.38664
5586.961877,0.0,8000,12159.083919
-2614.599875,0.0,8000,12311.831085
-6430.852643,0.0,8000,12465.286556
-12014.69991,0.0,8000,12618.418861
-2802.898548,0.0,8000,12771.918343
-8887.661308,0.0,8000,12924.045413
-7896.053542,0.0,8000,13075.547594
-2942.696659,0.0,8000,13226.719676
-12262.93962,0.0,8000,13377.657394
5548.882716,0.0,8000,13527.423892
5686.131303,0.0,8000,13678.398844
3774.510919,0.0,8000,13828.340495
5457.6908,0.0,8000,13979.298665
-3405.972927,0.0,8000,14132.685906
-2680.648661,0.0,8000,14286.658673
5531.255823,0.0,8000,14437.552742
-3224.419383,0.0,8000,14589.97398
-2622.273926,0.0,8000,14742.943007
5566.454181,0.0,8000,14895.628584
5518.34566,0.0,8000,15049.079019
-11307.94275,0.0,8000,15201.05015
-3088.576635,0.0,8000,15356.594048
-11693.219602,0.0,8000,15511.286319
5528.14576,0.0,8000,15663.795325
-15744.723657,0.0,8000,15817.938539
-5681.683808,0.0,8000,15971.289804
-1628.516303,0.0,8000,16125.07953
-2315.771033,0.0,8000,16264.326441
-9925.388585,0.0,8000,16422.330345
-3342.860371,0.0,8000,16577.916426
5475.418799,0.0,8000,16731.516811
5439.249914,0.0,8000,16883.344928
-12596.669871,0.0,8000,17037.216085
