#{"t_start": 1721926644.0933099, "env_id": "None"}
r,d_r,l,t
100.571374,207.635813,386,4.352676
2859.900685,-13060.456314,8000,156.517323
2793.824012,2764.299951,8000,309.488152
175.556592,-1584.35563,1222,321.070886
2988.791267,2891.382303,8000,473.843971
-5284.309343,2828.109793,8000,615.696046
2965.577801,2934.882757,8000,770.073644
2911.48732,2945.581555,8000,923.813142
2935.102093,2859.137927,8000,1062.756549
2978.682314,2879.590761,8000,1202.285156
-5077.841195,2971.223371,8000,1355.701721
2924.38415,2926.460332,8000,1497.047959
237.555411,647.435837,1578,1512.224402
2968.218494,2956.664779,8000,1653.707251
-5266.780338,-6053.805124,8000,1808.762332
753.382639,2844.32911,8000,1962.858331
2889.380948,-4321.936707,8000,2115.769163
2925.510207,2933.929028,8000,2269.847875
-3833.195182,2916.384648,8000,2424.558386
2952.037246,2887.938654,8000,2579.399597
-4721.082376,2866.658203,8000,2734.093024
2896.902565,-5897.756664,8000,2888.700838
-2194.966598,-5751.961091,8000,3033.365883
-4572.853026,-5569.371369,8000,3176.885637
-5543.799881,-2687.837369,8000,3329.638008
-2769.760426,-3983.716976,8000,3483.293361
-4637.455244,-10899.40858,8000,3627.969917
999.740414,-13444.036043,8000,3762.801393
-2440.614396,-3347.542247,8000,3916.429577
-372.373243,560.993758,1699,3932.680388
-5897.415891,2710.914025,8000,4072.926163
2794.662279,2843.613283,8000,4215.201664
2873.964571,2857.337496,8000,4369.256014
2714.896731,-5310.357966,8000,4521.953153
90.375178,308.774295,919,4530.741931
2917.33306,2866.423303,8000,4671.617177
-6210.477559,-6005.193816,8000,4823.05994
2765.913451,2885.924337,8000,4962.074693
-5763.922984,2817.117166,8000,5114.478872
-5439.752782,-6334.600677,8000,5266.530427
-1806.914067,-5443.962116,8000,5419.669216
-5043.420784,2695.848518,8000,5567.264548
2773.85208,2588.94149,8000,5720.567006
2765.536196,2776.821268,8000,5873.445182
-311.821199,355.132309,1208,5884.964024
2743.701343,2882.81991,8000,6037.172726
-5766.150373,-4658.953168,8000,6190.251961
-4434.675958,2732.423603,8000,6342.864019
2849.095613,-13564.022855,8000,6494.93674
-6119.676833,-5711.216351,8000,6647.944346
-4204.396857,2638.608808,8000,6800.34932
-792.459998,2752.859507,8000,6940.769421
634.013929,-5497.724294,8000,7093.823612
2818.22426,-2549.688225,8000,7225.319151
-5312.003251,2818.797148,8000,7378.716075
2674.388376,2913.074577,8000,7518.039846
-5563.504481,671.831103,8000,7671.286469
-5260.994205,-5474.941672,8000,7824.099569
2859.445144,-14536.399082,8000,7977.793559
2810.53733,2859.311535,8000,8116.765105
2883.122895,2715.804008,8000,8270.351574
2826.433449,-5980.462709,8000,8423.682514
2863.744979,2825.253313,8000,8577.279012
1178.750084,272.706034,6786,8705.855287
2824.003215,2659.650738,8000,8860.264774
2828.148931,2764.965486,8000,9002.000918
2792.899086,-8671.451912,8000,9155.751458
2845.121265,-5105.558829,8000,9309.832661
2852.82258,2836.596552,8000,9462.9022
-6142.498009,-5754.226627,8000,9615.813771
-5217.955354,-4821.205601,8000,9756.53722
-4159.888344,2807.647793,8000,9910.612547
2902.531124,2773.56468,8000,10064.608233
-2800.268528,1710.778661,4713,10186.858336
127.933356,159.476589,665,10193.32911
-4899.956366,2805.089462,8000,10333.888552
2817.771692,-4566.609388,8000,10485.871915
2771.372457,2884.720313,8000,10640.134386
2816.983767,2623.284738,8000,10768.541617
-5585.505892,-6237.257188,8000,10922.139811
-6008.380903,2700.122949,8000,11075.221596
-5568.280302,2827.166836,8000,11228.614866
-2153.432483,2858.87567,8000,11381.055956
2879.823951,-6345.083558,8000,11534.888485
-5901.703319,2796.420556,8000,11674.554838
2815.508151,2743.539346,8000,11827.881398
2682.426002,-3800.516862,8000,11980.917893
2736.448106,-5402.65481,8000,12122.772185
-2349.523131,-2444.933035,4420,12165.014522
214.273252,-190.201902,1757,12258.271374
-5836.726563,2773.726955,8000,12411.876729
-347.873988,-552.138098,1499,12426.140081
2829.739274,2872.767662,8000,12567.285015
-5068.449186,2715.464834,8000,12718.460613
-5667.944087,2832.046331,8000,12857.414162
2842.232595,2783.634274,8000,13009.6302
-1588.202584,674.026568,2246,13030.927959
2668.364944,2591.130995,8000,13184.699727
-5823.459403,2597.382468,8000,13337.079059
2745.722448,2908.277583,8000,13490.210053
2819.035069,2970.232363,8000,13644.097755
-5439.744676,-4997.258255,8000,13797.647704
-291.845523,253.679491,855,13805.812563
-6070.909052,2733.836414,8000,13946.215328
2601.358481,2938.176246,8000,14098.939268
-5545.84466,2751.734994,8000,14251.154237
2677.090636,-5167.605989,8000,14403.054543
2874.503725,-5165.720648,8000,14554.978551
-4611.661691,2642.677009,8000,14707.317212
2632.431074,-5228.146592,8000,14860.411959
-5349.73835,-4862.222524,8000,15011.917587
2525.511132,-5809.960693,8000,15164.35864
-5278.147163,2831.363775,8000,15311.432154
351.429596,-6570.415057,7366,15459.055645
2757.665217,2553.528289,8000,15612.11428
-5783.630808,2537.785401,8000,15765.058892
2346.239479,2777.471288,8000,15918.441994
2856.582611,2836.008267,8000,16071.26189
2809.12462,-6219.31757,8000,16218.613525
-1962.178266,-1239.312376,3523,16328.105435
-4963.396987,-5822.124087,8000,16470.395674
2848.115386,-5390.307099,8000,16624.222013
2842.801545,-5490.14774,8000,16777.423595
2861.829793,2748.305217,8000,16922.979806
2591.650297,2858.00887,8000,17077.37675
-5199.625533,-5251.859714,8000,17231.156024
2815.827364,2867.109936,8000,17376.132064
2682.58736,2590.821161,8000,17520.65782
-4061.426313,2796.515615,8000,17673.520636
2798.443962,-5758.614168,8000,17826.870812
-3484.483366,-12501.605188,8000,17979.887165
-5532.26003,2705.963013,8000,18126.148466
2765.367619,-5284.950689,8000,18279.753723
-6021.190048,2594.974313,8000,18433.238903
108.09395,116.281972,666,18439.527743
-5004.326915,2872.450869,8000,18592.988809
-5763.731229,2750.699232,8000,18734.524468
2761.319952,-4417.36033,8000,18888.217191
2818.519393,2526.106249,8000,19026.107538
148.132523,2406.811029,8000,19179.818033
2691.125279,2814.610757,8000,19321.199389
-5241.372212,2779.837791,8000,19473.793324
2864.329832,2807.505525,8000,19620.260921
2423.312994,-15059.115263,8000,19755.265056
2885.542149,2793.102408,8000,19897.938947
2827.007492,-5110.515643,8000,20051.678349
2759.405694,2798.331583,8000,20192.115807
-5388.302719,2692.767347,8000,20345.808945
2865.00066,-5220.072873,8000,20487.632376
2827.243092,2740.226404,8000,20641.835317
2861.039639,-4879.587069,8000,20796.150544
2844.836978,-4301.579641,8000,20950.322834
2805.777374,-5407.202517,8000,21076.854998
582.405454,-1070.240942,2489,21100.655648
2829.16491,-6044.723686,8000,21232.226625
-4574.342465,2739.729887,8000,21385.400707
-5080.495237,-4275.892718,8000,21538.715351
2798.245046,-5514.296358,8000,21687.993918
-140.206835,-1520.501245,2549,21712.275351
-2733.565989,-2941.317011,4741,21833.524946
-4834.32242,2668.881028,8000,21985.945444
-203.01171,237.739145,765,21993.196762
1469.483649,2855.510083,8000,22146.27413
2825.355207,2856.436756,8000,22285.750464
2772.039141,2810.284802,8000,22425.880107
2745.2749,-5818.992842,8000,22578.147669
2914.952946,2763.282947,8000,22729.972649
2859.790466,-2291.269856,8000,22882.408086
-5867.648404,2938.709676,8000,23034.228883
-3298.698276,2845.499446,8000,23187.615256
2847.500813,-13690.501477,8000,23319.74862
2756.484702,2804.013541,8000,23472.833837
2813.49294,-6355.485029,8000,23625.963257
2833.313111,-6169.988796,8000,23779.32058
2725.937941,2408.599118,8000,23919.65059
-3967.208735,-4325.377864,8000,24073.839915
2600.253071,-14441.656749,8000,24227.489974
2687.307425,-2181.22222,8000,24382.556858
2772.698107,-517.381437,8000,24523.287589
2613.232923,2831.876943,8000,24670.195586
2794.366611,2826.693333,8000,24824.373029
-6060.578651,2762.960182,8000,24977.620057
2781.324631,2809.122439,8000,25119.99473
-5297.402622,2616.243441,8000,25253.980578
2784.204447,-5852.837193,8000,25408.393986
2837.321801,2465.331441,8000,25548.280927
2821.184674,2828.03576,8000,25701.685673
-1238.697793,-1108.994164,5676,25823.994498
-931.152854,782.467946,2381,25846.493112
2586.173142,-4334.636705,8000,25991.209302
2863.831231,2924.96696,8000,26144.851691
-4698.557198,-4481.050731,8000,26284.341022
2774.901966,-5549.649449,8000,26437.018272
2819.731813,-2633.565088,8000,26579.295717
-4846.146138,2730.000599,8000,26730.477317
96.655895,496.601807,1283,26742.687416
-6056.249326,2844.510907,8000,26895.786543
-17.40291,508.567145,1483,26909.85776
-154.501788,363.206652,922,26918.490181
-4920.224988,2764.742796,8000,27059.699014
176.770578,181.967625,440,27141.705777
-5263.101306,2757.760403,8000,27294.922471
2813.963055,2879.113641,8000,27448.518825
2557.424944,-5432.639838,8000,27600.377772
2878.687254,-5923.951726,8000,27754.528229
2828.563894,2872.628632,8000,27899.989766
2837.963929,2751.278386,8000,28042.570089
2799.244576,-5636.880204,8000,28196.205114
2824.113502,2829.75706,8000,28349.137979
2873.218164,2827.426163,8000,28502.59198
2834.029031,-13794.179011,8000,28655.352737
-6160.935934,-4272.754279,8000,28808.747639
-5463.410881,2813.481956,8000,28961.486893
-5705.91571,2600.808594,8000,29113.258511
2652.142238,-5132.509571,8000,29241.34846
2810.598176,2807.991362,8000,29395.110766
-5719.711356,-4815.145996,8000,29524.559013
2834.876469,2854.289636,8000,29679.800827
2790.344142,-5885.063977,8000,29833.844505
2836.544475,-4207.612211,8000,29987.701858
2695.689764,2850.278344,8000,30141.743731
-5642.250237,-3228.115087,8000,30296.137472
2550.374184,-5269.211071,8000,30433.468897
2549.657999,1902.603447,8000,30574.245334
2852.178034,-5590.974252,8000,30715.510491
-5746.369231,-5775.242963,8000,30869.413751
-5021.241946,-5239.415491,8000,31021.940293
27.942184,336.1159,1121,31032.6508
-6437.31277,-5053.499871,8000,31185.897115
2776.500516,2753.397351,8000,31339.130263
-5220.939762,-3162.040453,8000,31487.054642
2800.211387,-5353.8794,8000,31641.230705
2861.914133,-4257.541532,8000,31794.494533
2818.952854,2793.139065,8000,31909.14368
-4640.557683,-6378.61743,8000,32047.764616
-6032.276084,-5302.000956,8000,32200.597768
-6096.694134,-5127.67547,8000,32352.289658
-6343.618924,2816.543079,8000,32486.874248
-903.43028,-167.530238,1313,32499.400227
2872.068587,-5871.950874,8000,32652.509069
-5973.864852,2799.072145,8000,32805.615877
-5161.958305,-4805.389547,8000,32958.478548
2571.529373,2505.286821,8000,33112.414139
2865.577536,2667.536086,8000,33265.112234
2874.648163,2807.265963,8000,33418.958282
-6314.075047,2932.712022,8000,33562.24883
-6462.362431,-2567.113122,8000,33715.833301
-5958.909785,2801.533403,8000,33869.302801
-4091.478759,-6028.30398,8000,34022.505002
2701.969138,2821.17341,8000,34167.44587
2822.308253,2810.229551,8000,34307.989972
2771.566586,2794.486347,8000,34461.312943
2782.95944,2824.557657,8000,34615.844797
2826.930435,2803.771723,8000,34769.280731
-3995.081192,2816.750099,8000,34922.127459
2791.059431,-13892.887192,8000,35074.889333
-259.215661,563.111869,1846,35092.547079
-4242.536225,-5466.25903,8000,35240.237799
-5498.529303,-5141.860521,8000,35393.666299
-5791.477215,-14686.599471,8000,35547.422843
2795.712214,-5835.384337,8000,35700.739163
2833.309659,-5149.902159,8000,35854.646255
-4706.543241,2794.414456,8000,36008.694559
-3929.024131,-5334.590492,8000,36136.278225
2871.94107,-4612.320822,8000,36289.514159
2726.396098,-5172.537109,8000,36430.087027
2759.061517,-6060.67591,8000,36585.048472
2776.526848,2863.315434,8000,36725.102976
-5056.888874,2041.662322,6257,36852.990267
-2741.932645,2852.394136,8000,37006.62777
2673.453473,-5625.324908,8000,37152.611417
2746.984332,-5187.838607,8000,37306.987779
870.945032,-5528.141895,8000,37461.528538
2791.799806,2640.72957,8000,37616.035072
-5373.17769,2836.852961,8000,37770.422956
2790.507862,2752.131858,8000,37924.98921
2843.787754,2823.316501,8000,38077.391346
-6426.957099,-2212.881466,8000,38231.519675
2612.783637,2757.159759,8000,38360.008266
2711.215112,2874.907075,8000,38513.052832
2834.206965,2742.338695,8000,38656.676011
-1539.285518,1180.451855,3629,38690.961647
467.307759,632.78042,4112,38793.162484
2709.157344,-471.194829,8000,38946.461199
-4356.856504,-4299.879151,8000,39093.053297
2853.264759,-13856.014905,8000,39246.204279
2841.189461,-3173.363812,8000,39399.726123
2877.670586,2868.035226,8000,39540.718513
2902.836933,-6199.370006,8000,39693.616695
2527.973506,-4110.975745,8000,39845.493218
-4315.451734,2693.651176,8000,39984.105184
2798.270009,2651.782483,8000,40137.315797
2609.43627,-5231.339782,8000,40289.788448
2756.564562,-4704.910687,8000,40443.473004
2752.624983,-5626.197338,8000,40597.095885
-4452.801283,-10286.660716,8000,40749.691445
933.677447,2729.721783,8000,40896.625214
2784.605682,-2372.458722,8000,41050.679513
2730.471684,-12991.777742,8000,41189.876706
2758.841925,2823.034211,8000,41320.940113
256.329784,246.671855,1099,41331.316416
2796.610139,-13309.972825,8000,41484.709606
2772.690607,-3964.578171,8000,41613.701929
2723.405939,371.259586,8000,41768.075564
-3734.827833,-5108.255166,8000,41921.566178
2666.152578,-5632.74199,8000,42065.870093
-4240.632145,-10957.403728,8000,42220.220147
-2353.800643,-9964.12166,6741,42361.780223
-4407.293765,2775.448171,8000,42501.751444
2767.873014,2110.203696,8000,42655.721479
2680.536929,-5551.5007,8000,42808.34979
2842.819814,1078.897153,8000,42963.106387
2766.645825,2843.191809,8000,43102.359555
797.948624,934.779051,2676,43127.984466
