#{"t_start": 1721926644.186681, "env_id": "None"}
r,d_r,l,t
2849.320229,2908.823556,8000,76.318301
-4425.42562,-13400.464388,8000,228.471952
-2402.419252,-4991.99626,8000,381.341987
-1503.102634,-6211.983852,8000,534.072631
-5219.452649,2783.643856,8000,676.106811
2919.347004,2961.579431,8000,830.544612
2698.517738,-5972.716645,8000,984.06356
2935.341759,2877.394699,8000,1122.987694
-5850.042419,-4891.601291,8000,1262.760637
2822.444925,-5304.067324,8000,1416.061238
2907.65105,2819.847783,8000,1557.72199
2884.169414,2944.88939,8000,1699.696953
91.849755,176.306535,679,1784.364422
-5656.187235,2968.023436,8000,1938.74448
-5592.420384,2928.744308,8000,2091.468588
-5354.83956,2887.85758,8000,2245.732299
2770.373406,-11462.80187,8000,2399.919967
2995.930502,2964.574377,8000,2555.172574
2852.783167,2911.388433,8000,2709.902772
2843.152445,2751.669536,8000,2864.499605
35.344105,84.959394,368,2868.065274
860.074381,344.845888,8000,3012.618757
1060.476891,-2842.936317,5882,3069.200553
-419.0377,281.359815,2219,3157.372005
2691.641708,-4413.226148,8000,3310.233247
2828.286956,-9594.308784,8000,3463.799995
-444.908138,-3093.012464,4385,3505.737772
2815.736692,1174.176708,8000,3650.694952
-4456.678404,-11617.518632,8000,3785.21574
2766.063865,-9309.279991,8000,3939.042432
-6156.880893,-3330.482568,8000,4079.152427
-6033.338893,-4500.789041,8000,4221.260525
-4899.69263,2637.387067,8000,4375.321917
-3019.075125,-4842.283941,8000,4528.056807
-3853.405246,-4301.140453,8000,4668.890585
183.977737,436.50128,1308,4681.341323
-4119.851141,-8584.71986,8000,4832.665977
2922.812439,-6267.726218,8000,4971.77389
2670.412696,-891.581455,8000,5124.216915
2797.383836,2720.284284,8000,5276.248475
-6084.749697,1855.494712,8000,5429.497246
2940.394455,-6064.455003,8000,5577.118087
-4849.718221,2812.474435,8000,5730.237701
-6149.747962,2870.015019,8000,5883.25033
2868.81133,2822.060463,8000,6035.440642
2803.873513,-6307.230112,8000,6188.497188
-994.033719,2782.733404,8000,6341.102477
-6061.579497,-3904.347211,8000,6493.194242
-4919.638389,-4740.294461,6847,6635.26488
-6374.750284,2813.326179,8000,6787.610349
-4919.215113,2818.61795,8000,6928.169873
2734.285087,-5836.372104,8000,7081.116133
2812.951623,-5071.803323,8000,7212.722873
2811.777699,-5570.095165,8000,7366.166634
2790.871005,-5713.365626,8000,7505.469093
-5766.794246,-6546.296118,8000,7658.753508
2709.933482,-5336.586834,8000,7811.506327
127.996123,416.579484,1148,7822.31863
-5422.167604,2798.062643,8000,7976.018582
-6528.913432,2765.580801,8000,8114.994385
-6226.674475,2742.255026,8000,8268.541522
-2760.838678,2831.711518,8000,8421.913843
2720.614531,-4122.061957,8000,8575.499006
-211.220673,-2219.078493,3808,8675.579523
-5867.293529,-11712.047277,8000,8829.899871
-4937.814609,-5558.387273,8000,8971.634255
-5615.109326,-5697.451134,8000,9125.780895
2886.946678,-14243.002988,8000,9279.564137
-4223.639961,1087.032876,8000,9432.639372
-5886.780612,-6190.342363,8000,9585.445835
2497.100496,2687.184413,8000,9726.342088
2738.09088,2551.112401,8000,9880.368784
-1117.488172,-1208.783833,2060,9900.146449
2854.331549,2912.088752,8000,10054.121865
2709.984431,1675.722696,8000,10207.952213
2802.436195,-4974.498125,8000,10348.614313
3.582649,144.910535,338,10351.888802
2854.43177,2823.256752,8000,10503.703815
2548.652856,-5981.959117,8000,10657.915162
-4650.10281,-5905.130882,8000,10786.19216
2444.88848,-5376.594081,8000,10939.90555
2729.38776,-9333.961604,8000,11093.08087
2863.219297,2827.759027,8000,11246.35646
-5987.800268,-14078.781622,8000,11398.630283
2636.388719,2799.177278,8000,11552.720041
2704.808856,-9981.093228,8000,11692.188622
2817.237526,-5812.978023,8000,11845.64938
-513.790307,49.51485,1058,11855.853899
-5993.555257,2791.698427,8000,12008.708473
32.152777,110.183423,565,12014.104296
1883.553194,-15003.301265,8000,12155.961224
2847.012091,-5369.714741,8000,12308.79676
2747.351837,1935.552381,8000,12462.53534
2488.937308,2810.981344,8000,12603.572166
-5244.535419,-5292.098503,8000,12754.684372
2752.179403,-5042.64826,8000,12893.199003
-5108.285862,2860.374604,8000,13045.772288
-1188.173853,-1378.683753,3313,13154.956593
2810.755942,2815.266444,8000,13307.494861
2730.868382,-4390.725544,8000,13460.348402
-1170.67878,2753.05991,8000,13614.304651
2752.03958,2747.4372,8000,13768.00062
-5845.602438,2847.377701,8000,13908.421795
-5757.114242,-5881.791283,8000,14061.547657
-5948.838933,-10846.221273,8000,14213.374098
1653.403997,-5080.382473,8000,14365.803967
-5752.238583,2731.521533,8000,14517.264668
-3495.874176,925.648088,8000,14669.391522
2740.761374,-4427.280361,8000,14822.551248
2859.483743,2739.692629,8000,14974.446951
-5901.85227,-7973.898773,8000,15126.418684
2507.920574,2457.298974,8000,15273.841075
-2826.999598,-15125.943571,8000,15427.422439
-332.617672,428.148661,1233,15439.208685
2544.86217,2874.392664,8000,15591.933696
2812.615686,2856.50304,8000,15744.835102
2758.465905,-7903.934599,8000,15898.385979
2708.601922,2693.333024,8000,16050.965479
2749.667279,-5878.038305,8000,16198.468355
-3555.61847,-11437.476971,8000,16350.59752
-1126.611045,744.973545,1979,16369.587348
2867.77521,-5814.050513,8000,16511.808064
2798.299199,-5064.974602,8000,16665.425783
-6287.982569,2899.091636,8000,16818.893899
2680.346344,-6210.004453,8000,16964.550705
2786.294642,2924.584782,8000,17119.011742
2638.878536,-4595.091539,8000,17272.508895
398.831006,396.736728,1140,17283.464004
2911.770572,2826.365329,8000,17428.243889
2843.113565,2862.134902,8000,17572.530113
2670.353113,2854.214504,8000,17725.434897
2781.467528,-4639.807716,8000,17878.729455
-1666.094554,40.775188,8000,18032.11084
-4141.575144,-6830.785968,8000,18178.352409
-4690.109554,-5551.152443,8000,18332.100381
-2889.585438,-2358.540399,5565,18462.067046
-1942.213835,-2755.209629,4009,18500.339152
-151.71308,429.73368,1144,18588.434168
2852.15945,2794.548319,8000,18729.978753
2687.432642,-5065.539505,8000,18883.674064
2939.127745,-3940.176116,8000,19021.658206
2618.618226,-7166.113962,8000,19175.264839
-5515.764558,2864.154725,8000,19316.743651
2827.96697,-6341.506171,8000,19469.166324
2840.856428,644.904592,8000,19615.777194
2462.41668,-3832.568818,8000,19750.80063
-5930.985937,2784.775477,8000,19893.435284
2835.444974,-5119.708907,8000,20047.251543
-5756.861897,2781.762734,8000,20187.644997
-5259.496508,2892.102127,8000,20341.1181
2566.572774,2771.966756,8000,20483.05475
-4353.028133,2790.826138,8000,20637.35311
2812.010614,-4762.049583,8000,20791.696629
-739.655407,1056.23741,2913,20819.31799
-617.773914,2712.828721,8000,20973.522864
2749.743372,2793.802105,8000,21100.157964
2799.695206,-6948.433959,8000,21231.723099
2805.470643,2840.894963,8000,21384.932242
2857.840899,2840.296357,8000,21538.244828
-4375.30762,2770.200445,8000,21687.511611
2803.261307,784.912447,8000,21839.787193
-5675.558557,2584.118836,8000,21992.203058
2805.076962,-6103.112871,8000,22145.27184
2733.446163,-4837.286663,8000,22284.757662
2842.21332,2702.636094,8000,22424.888611
2762.666699,2876.408838,8000,22577.169997
2850.165186,-5528.613677,8000,22728.967376
2674.436601,-11976.142743,8000,22881.415244
-123.717307,835.533522,2224,22902.322886
-6415.726761,2822.122256,8000,23054.537753
2762.547766,-5405.919162,8000,23207.812204
2716.282221,2862.095586,8000,23339.846141
2701.505385,-5187.159272,8000,23492.887103
-5624.101397,-3264.356918,8000,23645.90742
-50.460019,236.811618,563,23651.217285
2833.137636,2834.250605,8000,23804.802712
2834.048991,2783.193431,8000,23945.288206
-100.967333,275.324287,964,23954.303974
-6052.460907,-5870.789309,8000,24108.516422
2733.420826,2828.726782,8000,24262.445158
2834.780991,2819.728433,8000,24417.394693
-4488.118155,-6114.162278,8000,24558.227764
-2416.819198,-3113.348131,8000,24704.783822
-6179.489939,2749.277132,8000,24858.617713
2845.714457,2870.440103,8000,25012.418067
2851.993807,2821.700459,8000,25155.005314
