#{"t_start": 1721926644.2363987, "env_id": "None"}
r,d_r,l,t
-4768.232871,-5477.939088,8000,76.313396
2800.420324,-13273.11541,8000,228.467649
2966.511961,-5267.699498,8000,381.337646
2863.419795,-5654.683573,8000,534.068306
2674.678501,-6066.600563,8000,676.10108
2968.026099,-4611.379175,8000,830.540418
2941.688734,-5103.654378,8000,984.057928
2940.489235,-5661.103593,8000,1122.982213
2964.642936,2935.384562,8000,1262.756762
218.942951,-13022.930584,8000,1416.055853
-5887.286944,2779.697139,8000,1557.716588
2892.449201,-5137.879305,8000,1699.692712
2973.57658,2890.102945,8000,1854.370864
2875.155474,2958.392439,8000,2007.638376
2908.65005,2905.921816,8000,2161.065333
2954.802741,2941.479313,8000,2315.373493
-2947.277346,-3552.103705,8000,2470.228046
-5398.731297,2908.836289,8000,2624.763936
2918.746762,-6285.589337,8000,2779.500533
2581.801344,-5596.372222,8000,2934.192048
-4518.745471,2796.254562,8000,3079.327415
-6225.769988,-3145.46104,8000,3222.369874
-4811.722928,295.173635,6995,3365.872153
-4071.107836,-8898.501431,8000,3519.579581
2686.103134,2298.894202,8000,3664.880836
525.934592,873.533465,2134,3743.266996
2816.762086,2780.949877,8000,3896.767131
2807.379595,-9593.403606,8000,4037.038981
2854.671108,2816.62918,8000,4179.593856
2686.932197,-3842.961505,8000,4333.273897
2684.151176,803.009154,8000,4486.224205
675.368887,623.853793,1864,4503.958128
2801.199804,-4784.368801,8000,4644.821954
2795.827154,2791.075991,8000,4796.545135
2827.064361,-5688.666918,8000,4935.903252
-2871.634165,-2461.027697,8000,5087.870498
-5070.955674,-6181.631532,8000,5239.585616
303.586653,292.449702,1030,5249.409497
1022.936088,-15183.637677,8000,5402.642488
2831.380784,-14090.138348,8000,5550.397382
2883.440022,-5159.79895,8000,5703.48114
2784.544871,-5391.629944,8000,5856.357837
-4867.527216,-5993.374567,8000,6008.901963
-4422.663986,2721.483568,8000,6161.928741
-6325.516004,2899.958458,8000,6314.773663
-5892.798014,2678.686302,8000,6466.852144
2674.07236,-2897.294901,8000,6619.500266
2799.362427,-5828.91633,8000,6771.828758
-4818.535716,-5575.023634,8000,6912.374167
310.584936,227.13882,912,6920.96157
2897.182374,-5148.364043,8000,7073.832346
2704.205854,2587.523137,8000,7205.475651
-2473.896073,2803.909352,8000,7358.977447
-6132.865043,2632.182732,8000,7498.301807
-6427.928727,2841.114836,8000,7651.606838
2839.43236,2754.859597,8000,7804.341506
2878.845783,2887.532,8000,7958.146633
2820.647919,2831.230654,8000,8096.904181
-5226.81113,-3443.145505,8000,8250.373194
-1482.091411,-4170.358193,8000,8403.812039
2797.632567,2631.24505,8000,8557.478916
